CityName, Population, Latitude, Longitude
Bonavista,3190,48.634544,-53.107356
Division No.  7, Subd. G,316,48.588869,-53.190676
Keels,46,48.60609,-53.403939
Duntara,36,48.581038,-53.366341
King's Cove,75,48.566932,-53.354956
Division No.  7, Subd. F,831,48.485409,-53.527131
Division No.  7, Subd. E,2573,48.291844,-54.36086
Musgravetown,561,48.411187,-53.898327
Port Blandford,513,48.358161,-54.200311
Traytown,279,48.666931,-53.971873
Division No.  7, Subd. D,259,48.538197,-53.979775
Sandy Cove,120,48.645125,-53.707324
Terra Nova,99,48.503405,-54.212743
Happy Adventure,118,48.635738,-53.780768
Eastport,527,48.669361,-53.770261
Sandringham,205,48.656138,-53.828821
Glovertown,1948,48.684883,-54.064414
Division No.  7, Subd. N,55,48.707699,-54.488803
Salvage,108,48.671557,-53.694241
Gambo,1816,48.806734,-54.221743
St. Brendan's,125,48.857843,-53.667692
Hare Bay,925,48.852944,-54.01277
Centreville-Wareham-Trinity,1116,49.019736,-53.957455
Division No.  7, Subd. B,57,49.116031,-54.109757
Greenspond,257,49.069063,-53.57898
Division No.  7, Subd. A,140,49.200089,-53.487916
Dover,579,48.873604,-53.985273
New-Wes-Valley,2044,49.163609,-53.622409
Indian Bay,172,49.066739,-53.988306
Division No.  8, Subd. M,141,49.374643,-53.737674
Lumsden,535,49.292628,-53.59201
Musgrave Harbour,946,49.422962,-53.951959
Division No.  8, Subd. L,2772,49.341444,-54.482877
Carmanville,784,49.353615,-54.281013
Change Islands,184,49.664718,-54.395169
Division No.  8, Subd. I,163,49.691896,-54.734614
Crow Head,156,49.675322,-54.802444
Division No.  8, Subd. H,1788,49.588858,-54.89427
Cottlesville,244,49.500424,-54.830016
Summerford,805,49.504855,-54.798587
Twillingate,2121,49.646166,-54.756419
Division No.  8, Subd. G,409,49.421186,-54.860549
Campbellton,459,49.279724,-54.928739
Birchy Bay,511,49.313164,-54.722262
Comfort Cove-Newstead,345,49.368468,-54.899872
Baytona,251,49.32957,-54.783463
Division No.  8, Subd. F,867,49.254609,-55.171737
Embree,679,49.29735,-55.047546
Lewisporte,3288,49.243359,-55.031017
Little Burnt Bay,238,49.339965,-55.081944
Division No.  8, Subd. E,496,49.368627,-55.244856
Point of Bay,137,49.280837,-55.251764
Leading Tickles,296,49.46427,-55.416795
Point Leamington,574,49.317367,-55.422847
Division No.  8, Subd. D,5,49.551802,-55.603625
Pilley's Island,286,49.522581,-55.724474
Triton,896,49.524289,-55.602882
Brighton,163,49.532841,-55.653894
Lushes Bight-Beaumont-Beaumont North,169,49.59508,-55.668942
Division No.  8, Subd. C,563,49.437628,-55.996245
South Brook,420,49.416894,-56.09539
Robert's Arm,722,49.485036,-55.822628
Springdale,2965,49.507067,-56.055563
Port Anson,42,49.538516,-55.853796
Little Bay,100,49.600495,-55.951184
Little Bay Islands,0,49.645238,-55.789434
Division No.  8, Subd. P,297,49.504794,-56.256515
Beachside,97,49.642462,-55.906788
Division No.  8, Subd. O,275,49.856092,-55.714561
King's Point,653,49.575593,-56.206558
Nippers Harbour,74,49.792665,-55.86475
Burlington,304,49.75068,-56.017043
Middle Arm,443,49.689903,-56.122347
Tilt Cove,5,49.88575,-55.618647
Division No.  8, Subd. A,386,49.965732,-55.622319
Fleur de Lys,207,50.123645,-56.159431
LaScie,820,49.950456,-55.596858
Brent's Cove,119,49.936049,-55.712948
Pacquet,145,49.99265,-55.897197
Baie Verte,1311,49.918556,-56.22631
Seal Cove (White Bay),281,49.932021,-56.374229
Coachman's Cove,111,50.062987,-56.114347
Westport,185,49.787509,-56.608881
Ming's Bight,298,49.976859,-56.054187
Woodstock,195,49.968424,-55.907171
Miles Cove,97,49.537581,-55.789477
Fogo Island,2117,49.715865,-54.093091
Division No.  9, Subd. F,81,50.904805,-56.000455
Englee,489,50.758085,-56.104516
Roddickton-Bide Arm,928,50.850372,-56.133199
Conche,149,50.89463,-55.886228
Division No.  9, Subd. A,183,49.544537,-57.864024
Trout River,508,49.475595,-58.120808
Woody Point, Bonne Bay,244,49.500367,-57.925377
Norris Point,602,49.528277,-57.877061
Rocky Harbour,937,49.586592,-57.909381
Daniel's Harbour,220,50.235192,-57.580758
Cow Head,398,49.916669,-57.782149
Parson's Pond,368,50.033683,-57.70543
Hawke's Bay,297,50.608409,-57.168471
Port Saunders,678,50.662961,-57.235659
St. Pauls,202,49.856839,-57.815983
Division No.  9, Subd. C,2220,51.190475,-56.777775
Port au Choix,742,50.700349,-57.351633
Anchor Point,305,51.236737,-56.794695
Flower's Cove,272,51.297886,-56.730458
Bird Cove,175,51.033095,-56.925273
Main Brook,246,51.163034,-56.008478
St. Anthony,2180,51.372465,-55.600099
Glenburnie-Birchy Head-Shoal Brook,241,49.452191,-57.912712
Division No.  9, Subd. D,534,51.601388,-55.520142
St. Lunaire-Griquet,603,51.525914,-55.473274
Cook's Harbour,118,51.61058,-55.86095
Raleigh,150,51.552941,-55.708068
Sally's Cove,15,49.730395,-57.936147
Goose Cove East,172,51.301721,-55.62063
Division No.  9, Subd. H,155,50.157458,-57.606503
Bellburns,52,50.332909,-57.532863
Division No.  9, Subd. G,96,50.550929,-57.171034
River of Ponds,173,50.533545,-57.381955
Division No. 10, Subd. A,55,51.670696,-56.677048
L'Anse au Loup,692,51.526242,-56.832633
Red Bay,142,51.733014,-56.416184
L'Anse-au-Clair,219,51.462034,-57.075531
Forteau,377,51.485991,-56.963563
West St. Modeste,102,51.595139,-56.725549
Pinware,64,51.630668,-56.705095
Division No. 10, Subd. B,211,53.184663,-57.205835
Port Hope Simpson,403,52.538828,-56.347604
St. Lewis,181,52.373673,-55.685874
Mary's Harbour,312,52.288138,-55.875143
Cartwright, Labrador,439,53.708309,-57.00743
Charlottetown (Labrador),292,52.771694,-56.121408
Division No. 10, Subd. C,54,53.017306,-61.328321
North West River,560,53.540834,-60.145079
Happy Valley-Goose Bay,8040,53.328788,-60.41299
Division No. 10, Subd. D,732,53.606454,-65.085784
Labrador City,7412,52.956474,-66.937151
Wabush,1964,52.868781,-66.90779
Division No. 10, Subd. E,0,54.980237,-62.497927
Natuashish 2,856,55.912215,-61.110639
Sheshatshiu 3,1225,53.517628,-60.148917
Division No. 11, Subd. C,0,54.340909,-58.683975
Rigolet,327,54.178117,-58.43483
Postville,188,54.909997,-59.773916
Makkovik,365,55.08614,-59.177414
Hopedale,596,55.459467,-60.213594
Nain,847,56.540108,-61.70342
Division No. 11, Subd. E,0,58.015991,-63.253064
Murray Harbour,282,46.010173,-62.534167
Murray Harbour,628,45.972566,-62.538666
Murray River,337,46.013147,-62.614551
Murray River, Part 1,1422,46.036609,-62.6545
Cardigan,125,46.295844,-62.632329
Central Kings,135,46.28065,-62.563725
Central Kings,386,46.32509,-62.491625
Annandale - Little Pond - Howe Bay,223,46.275073,-62.406741
Souris West,379,46.339611,-62.291651
Souris,1766,46.413117,-62.382348
Souris,1079,46.356648,-62.246791
St. Peters,686,46.416939,-62.478824
Eastern Kings,687,46.442029,-62.082329
Morell,1209,46.387555,-62.704261
St. Peters Bay,231,46.423592,-62.575072
Three Rivers,7883,46.185506,-62.573786
Morell,269,46.414968,-62.704774
Morell 2,25,46.357741,-62.706202
East River, Part 2,575,46.362651,-62.800807
Belfast,1687,45.991181,-62.854774
Murray River, Part 2,346,45.962736,-62.674076
Montague,74,46.117336,-62.755371
Crossroads,1859,46.253831,-63.049743
Hazelbrook,220,46.226329,-62.989724
Alexandra,252,46.181204,-63.009611
Johnstons River,371,46.27839,-63.012522
Vernon River,2499,46.18305,-62.917528
New Glasgow,4277,46.405651,-63.327885
Crapaud, Part 1,1564,46.19936,-63.417885
North Rustico,327,46.442963,-63.324571
North Wiltshire,176,46.29053,-63.323374
Hampshire,339,46.280122,-63.262971
Kingston,1111,46.268407,-63.3273
Rocky Point 3,47,46.204279,-63.142971
Victoria,139,46.215181,-63.491825
Crapaud,361,46.237431,-63.499179
Darlington,99,46.316267,-63.328394
Clyde River,614,46.232477,-63.27377
Miltonvale Park,1196,46.31258,-63.223675
Hunter River,390,46.361557,-63.354492
Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico,359,46.494847,-63.379314
North Rustico,648,46.456275,-63.31366
Union Road,213,46.324066,-63.125982
Breadalbane,170,46.354236,-63.503109
Brackley,586,46.306005,-63.168716
Scotchfort 4,230,46.360705,-62.909129
Mount Stewart,226,46.369287,-62.867396
York,387,46.315319,-63.105681
East River, Part 1,2307,46.342852,-62.940577
Kensington, Part 2,549,46.384281,-63.542249
North Shore,2500,46.397749,-63.079257
West River,3473,46.132269,-63.247076
Winsloe North,337,46.371854,-63.199747
Warren Grove,374,46.274225,-63.208453
New London,1521,46.475033,-63.512507
North River,157,46.317164,-63.37344
North Shore,1475,46.310687,-63.058763
Charlottetown,38809,46.26534,-63.134468
Stratford,10927,46.197816,-63.087722
Cornwall,6574,46.235536,-63.190998
Borden,809,46.239345,-63.655236
Kinkora,1285,46.315597,-63.808696
Crapaud, Part 2,548,46.217102,-63.552359
Borden-Carleton,788,46.256458,-63.67339
Malpeque Bay,1191,46.51875,-63.685921
Kinkora,388,46.317637,-63.590415
Kensington,1812,46.437494,-63.636053
Bedeque and Area,311,46.336976,-63.709069
Sherbrooke,178,46.435283,-63.772864
Wellington,1811,46.466355,-64.036183
Tyne Valley,669,46.58167,-63.872352
St. Nicholas,218,46.399636,-63.979719
Linkletter,315,46.413359,-63.839081
Miscouche,992,46.431244,-63.864606
Summerside,16001,46.409641,-63.786695
Abram-Village,340,46.451925,-64.078063
Wellington,414,46.453184,-64.001102
Tyne Valley,229,46.57457,-63.934168
Lennox Island 1,308,46.609618,-63.847483
Lot 11 and Area,617,46.677266,-63.964637
Miscouche,849,46.472051,-63.878884
O'Leary,876,46.703995,-64.233112
Central Prince,1129,46.593708,-64.025612
Northport,157,46.788426,-64.061974
Alberton,1301,46.813279,-64.066504
St. Felix,314,46.933838,-64.013842
Greenmount-Montrose,262,46.852574,-64.036784
St. Louis,69,46.888843,-64.136745
Tignish,744,46.950728,-64.033594
Tignish Shore,64,46.945677,-63.994378
Tignish,1800,46.994498,-64.043393
Miminegash,148,46.881297,-64.227515
Miminegash,1089,46.839109,-64.246133
Alberton,2230,46.808034,-64.032811
O'Leary,2566,46.658644,-64.149793
West Point,235,46.62329,-64.370226
Kensington, Part 1,3090,46.411641,-63.672509
Victoria,87,46.206751,-63.522056
Barrington,6523,43.53003,-65.607267
Clark's Harbour,725,43.44884,-65.637492
Shelburne,4336,43.905359,-65.39087
Shelburne,1644,43.770298,-65.318331
Lockeport,476,43.70134,-65.11293
Argyle,7870,43.809207,-65.796864
Yarmouth,10067,43.931061,-66.13326
Yarmouth,6829,43.835955,-66.109126
Yarmouth 33,181,43.835283,-66.082843
Clare,7678,44.221741,-66.0688
Digby,7242,44.478395,-65.790271
Digby,2001,44.624582,-65.761238
Bear River (Part) 6,141,44.550156,-65.622613
Medway River 11,15,44.267887,-64.842133
Ponhook Lake 10,15,44.168865,-64.99872
Queens,10422,43.979709,-64.77771
Wildcat 12,49,44.344954,-64.922569
Annapolis, Subd. D,3049,44.634877,-65.155099
Bear River (Part) 6,0,44.555559,-65.610651
Annapolis, Subd. A,5980,44.648941,-65.559422
Bear River 6B,15,44.705927,-65.501963
Annapolis Royal,530,44.743594,-65.508119
Annapolis, Subd. B,4587,44.869988,-65.234939
Annapolis, Subd. C,5218,44.996027,-65.070722
Middleton,1873,44.944153,-65.07278
Lunenburg,25545,44.301259,-64.573556
Bridgewater,8790,44.381486,-64.526636
Lunenburg,2396,44.378651,-64.328293
Mahone Bay,1064,44.447328,-64.381253
Chester,10693,44.640475,-64.282859
Gold River 21,81,44.557499,-64.344704
Pennal 19,30,44.794734,-64.435053
New Ross 20,0,44.843425,-64.415136
Kings, Subd. A,22355,44.955707,-64.802709
Annapolis Valley First Nation,743,45.067742,-64.652105
Berwick,2455,45.048801,-64.735048
Kings, Subd. C,8348,44.991467,-64.531621
Kentville,6630,45.072428,-64.518672
Kings, Subd. B,11951,45.224826,-64.441691
Kings, Subd. D,5264,45.05841,-64.327049
Wolfville,5057,45.086421,-64.361387
Glooscap 35,111,45.042194,-64.238451
West Hants,19509,45.020897,-64.125819
East Hants,22892,45.12115,-63.712949
Indian Brook 14,2739,45.092472,-63.490607
Cole Harbour 30,208,44.650328,-63.483006
Halifax,439819,44.837415,-63.175675
Beaver Lake 17,20,45.023972,-62.764279
Sheet Harbour 36,10,44.913662,-62.554367
Wallace Hills 14A,15,44.731489,-63.798282
Colchester, Subd. C,12476,45.252048,-63.145798
Stewiacke,1557,45.136909,-63.346049
Millbrook 27,921,45.332246,-63.300679
Truro,12954,45.339154,-63.258812
Colchester, Subd. B,19806,45.537834,-63.254504
Colchester, Subd. A,3762,45.410556,-63.825539
Cumberland, Subd. A,3201,45.415644,-64.642739
Cumberland, Subd. B,6786,45.562176,-64.153868
Cumberland, Subd. C,5694,45.880428,-63.970584
Amherst,9404,45.822928,-64.204934
Oxford,1170,45.733311,-63.869307
Cumberland, Subd. D,4283,45.806091,-63.559711
Pictou, Subd. A,6153,45.778168,-62.937475
Pictou,3107,45.684448,-62.713428
Pictou, Subd. B,6137,45.466244,-62.79048
Westville,3540,45.554276,-62.713795
Stellarton,4007,45.561091,-62.66804
Pictou, Subd. C,8386,45.538661,-62.395697
New Glasgow,9471,45.59053,-62.6432
Trenton,2407,45.615373,-62.629498
Fisher's Grant 24,449,45.672851,-62.65294
Merigomish Harbour 31,0,45.626374,-62.484351
St. Mary's,2161,45.122743,-62.010558
Guysborough,4585,45.349149,-61.451636
Mulgrave,627,45.614936,-61.401382
Antigonish, Subd. A,8963,45.719611,-61.960791
Antigonish,4656,45.623193,-61.992965
Antigonish, Subd. B,6138,45.631002,-61.699899
Paqtnkek-Niktuek No. 23,372,45.600051,-61.718653
Inverness, Subd. C,3167,45.831949,-61.279086
Port Hawkesbury,3210,45.619649,-61.357048
Malagawatch 4,20,45.88355,-60.965504
Inverness, Subd. B,4865,46.063687,-61.340685
Whycocomagh 2,877,45.96309,-61.145575
Inverness, Subd. A,5207,46.490041,-60.923144
Richmond, Subd. C,3136,45.513456,-60.997542
Richmond, Subd. A,3763,45.663463,-61.044932
Richmond, Subd. B,1610,45.665729,-60.618181
Chapel Island 5,405,45.699292,-60.768836
Membertou 28B,1103,46.114187,-60.188303
Eskasoni 3,3521,45.945688,-60.611873
Cape Breton,93694,46.004322,-60.230747
Victoria, Subd. B,4077,46.191564,-60.742438
Wagmatcook 1,691,46.076517,-60.912122
Victoria, Subd. A,2673,46.727619,-60.46369
Saint Martins,1177,45.388613,-65.489735
St. Martins,320,45.346166,-65.557727
Simonds,3913,45.309551,-65.798641
Saint John,69895,45.269172,-66.062566
Musquash,1253,45.183084,-66.356234
Grand Manan,139,44.629244,-66.705847
Campobello Island,949,44.900548,-66.911014
West Isles,718,45.012962,-66.949646
Lepreau,803,45.142824,-66.51596
Pennfield,2222,45.086547,-66.679463
Blacks Harbour,907,45.057573,-66.787142
Clarendon,66,45.407991,-66.536713
Saint George,2495,45.275298,-66.827578
St. George,1579,45.129992,-66.826634
Saint Patrick,710,45.223091,-66.997144
Saint Andrews,550,45.128681,-67.058789
Saint Andrews,2048,45.085148,-67.061028
Saint Croix,648,45.20072,-67.106772
Dufferin,565,45.173725,-67.183269
Saint Stephen,1671,45.201894,-67.322862
St. Stephen,4510,45.174921,-67.313029
Saint James,1024,45.350619,-67.351149
Saint David,1470,45.279006,-67.178404
Dumbarton,346,45.43128,-67.071017
Grand Manan,2595,44.699001,-66.77885
Blissville,777,45.609429,-66.557174
Gladstone,486,45.566522,-66.771666
Tracy,610,45.671854,-66.664518
Fredericton Junction,719,45.656461,-66.610272
Lincoln,7519,45.814446,-66.596249
Burton,5176,45.806683,-66.417585
Oromocto,9045,45.838346,-66.484999
Oromocto 26,295,45.815088,-66.477331
Sheffield,888,45.981558,-66.216153
Maugerville,1772,46.06984,-66.329932
Northfield,577,46.204088,-65.9955
Petersville,710,45.520405,-66.333693
Gagetown,324,45.725862,-66.277484
Gagetown,787,45.777912,-66.157423
Hampstead,288,45.605195,-66.138968
Wickham,409,45.687169,-65.993097
Cambridge,684,45.817333,-66.055961
Cambridge-Narrows,715,45.803326,-65.971397
Johnston,638,45.893764,-65.786463
Brunswick,224,46.0577,-65.557668
Waterborough,903,46.044442,-65.843316
Canning,1028,45.973999,-66.077466
Minto,2234,46.0975,-66.064294
Chipman,853,46.204407,-65.843935
Chipman,1201,46.177888,-65.874999
Hammond,276,45.586306,-65.367741
Upham,1357,45.530506,-65.65011
Hampton,2969,45.471233,-65.828836
Hampton,4395,45.522337,-65.839462
Rothesay,342,45.400504,-65.869335
Westfield,2114,45.350535,-66.303983
Kingston,3202,45.48462,-66.03738
Grand Bay-Westfield,4967,45.320099,-66.212684
Norton,1325,45.593183,-65.773314
Norton,1410,45.653613,-65.714715
Sussex,2579,45.655689,-65.525707
Sussex,4440,45.722744,-65.508008
Sussex Corner,1458,45.712976,-65.469603
Waterford,491,45.662318,-65.314674
Cardwell,1401,45.790466,-65.319443
Havelock,1042,45.952216,-65.396487
Studholm,3527,45.808591,-65.56545
Springfield,1641,45.717165,-65.811301
Kars,377,45.612963,-65.972089
Greenwich,1126,45.505726,-66.120296
Rothesay,11977,45.381814,-65.974127
Quispamsis,18768,45.433404,-65.938424
Hopewell,597,45.798894,-64.643626
Riverside-Albert,348,45.747687,-64.736583
Harvey,358,45.691508,-64.769907
Alma,282,45.628584,-64.906356
Alma,5,45.59445,-64.972842
Elgin,1064,45.79806,-65.020827
Hillsborough,1397,45.901615,-64.750607
Coverdale,4766,45.988099,-64.978468
